height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
594910,1787786268.0,6.0,0,0,0,0.000000,0
594911,1787786274.0,6.0,0,0,0,0.000000,0
594912,1787786280.0,6.0,0,0,0,0.000000,0
594913,1787786286.0,6.0,0,0,0,0.000000,0
594914,1787786292.001,6.000999927520752,0,0,0,0.000000,0
594915,1787786298.0,5.999000072479248,0,0,0,0.000000,0
594916,1787786304.0,6.0,0,0,0,0.000000,0
594917,1787786310.0,6.0,0,0,0,0.000000,0
594918,1787786316.0,6.0,0,0,0,0.000000,0
594919,1787786322.0,6.0,0,0,0,0.000000,0
594920,1787786328.001,6.000999927520752,0,0,0,0.000000,0
594921,1787786334.0,5.999000072479248,0,0,0,0.000000,0
594922,1787786340.0,6.0,0,0,0,0.000000,0
594923,1787786346.0,6.0,0,0,0,0.000000,0
594924,1787786352.0,6.0,0,0,0,0.000000,0
594925,1787786358.0,6.0,0,0,0,0.000000,0
594926,1787786364.0,6.0,0,0,0,0.000000,0
594927,1787786370.0,6.0,0,0,0,0.000000,0
594928,1787786376.001,6.000999927520752,0,0,0,0.000000,0
594929,1787786382.0,5.999000072479248,0,0,0,0.000000,0
594930,1787786388.0,6.0,0,0,0,0.000000,0
594931,1787786394.0,6.0,0,0,0,0.000000,0
594932,1787786400.001,6.000999927520752,0,0,0,0.000000,0
594933,1787786406.0,5.999000072479248,0,0,0,0.000000,0
594934,1787786412.001,6.000999927520752,0,0,0,0.000000,0
594935,1787786418.0,5.999000072479248,0,0,0,0.000000,0
594936,1787786424.001,6.000999927520752,0,0,0,0.000000,0
594937,1787786430.0,5.999000072479248,0,0,0,0.000000,0
594938,1787786436.001,6.000999927520752,0,0,0,0.000000,0
594939,1787786442.0,5.999000072479248,0,0,0,0.000000,0
594940,1787786448.0,6.0,0,0,0,0.000000,0
594941,1787786454.0,6.0,0,0,0,0.000000,0
594942,1787786460.001,6.000999927520752,0,0,0,0.000000,0
594943,1787786466.0,5.999000072479248,0,0,0,0.000000,0
594944,1787786472.0,6.0,0,0,0,0.000000,0
594945,1787786478.0,6.0,0,0,0,0.000000,0
594946,1787786484.0,6.0,0,0,0,0.000000,0
594947,1787786490.001,6.000999927520752,0,0,0,0.000000,0
594948,1787786496.0,5.999000072479248,0,0,0,0.000000,0
594949,1787786502.0,6.0,0,0,0,0.000000,0
594950,1787786508.0,6.0,0,0,0,0.000000,0
594951,1787786514.0,6.0,0,0,0,0.000000,0
594952,1787786520.0,6.0,0,0,0,0.000000,0
